user_id,email,signup_timestamp,role,plan_type,acquisition_channel,country
U0105,user105@example.com,2023-02-10,Analyst,free,Event,US
U0106,user106@example.com,2023-01-28,Recruiter,trial,Event,US
U0107,user107@example.com,2023-05-15,Founder,paid,LinkedIn,US
U0108,user108@example.com,2023-03-13,Analyst,trial,LinkedIn,Germany
U0109,user109@example.com,2023-01-12,Recruiter,free,Referral,India
U0110,user110@example.com,2023-06-11,HR,trial,Website,India
U0111,user111@example.com,2023-02-02,Founder,free,LinkedIn,India
U0112,user112@example.com,2023-02-17,HR,trial,Referral,US
U0113,user113@example.com,2023-05-31,HR,paid,Referral,India
U0114,user114@example.com,2023-03-03,Recruiter,free,Website,India
U0115,user115@example.com,2023-02-06,Analyst,paid,Event,US
U0116,user116@example.com,2023-04-09,Recruiter,paid,LinkedIn,UK
U0117,user117@example.com,2023-06-21,Recruiter,free,Website,US
U0118,user118@example.com,2023-04-14,Recruiter,free,LinkedIn,India
U0119,user119@example.com,2023-02-04,Recruiter,free,Referral,US
U0120,user120@example.com,2023-04-11,Founder,free,Referral,UK
U0121,user121@example.com,2023-06-24,Analyst,free,Event,US
U0122,user122@example.com,2023-05-11,HR,trial,Referral,India
U0123,user123@example.com,2023-01-01,HR,free,Referral,UK
U0124,user124@example.com,2023-01-05,Analyst,free,Website,Germany
U0125,user125@example.com,2023-05-22,HR,paid,LinkedIn,India
U0126,user126@example.com,2023-04-13,Analyst,free,LinkedIn,UK
U0127,user127@example.com,2023-01-27,HR,paid,Website,UK
U0128,user128@example.com,2023-05-17,Recruiter,free,Event,Germany
U0129,user129@example.com,2023-01-15,HR,free,LinkedIn,US
U0130,user130@example.com,2023-03-31,Analyst,trial,Referral,US
U0131,user131@example.com,2023-02-11,Analyst,trial,LinkedIn,India
U0132,user132@example.com,2023-05-04,Analyst,paid,Referral,Germany
U0133,user133@example.com,2023-06-28,Analyst,trial,Event,US
U0134,user134@example.com,2023-03-04,Analyst,paid,Website,Germany
U0135,user135@example.com,2023-04-06,Founder,free,LinkedIn,US
U0136,user136@example.com,2023-02-21,Founder,free,Website,UK
U0137,user137@example.com,2023-04-06,HR,trial,LinkedIn,US
U0138,user138@example.com,2023-05-12,Analyst,paid,Referral,Germany
U0139,user139@example.com,2023-05-31,HR,paid,Website,UK
U0140,user140@example.com,2023-05-23,Analyst,free,LinkedIn,UK
U0141,user141@example.com,2023-06-20,Analyst,free,Referral,UK
U0142,user142@example.com,2023-01-29,Founder,trial,Website,Germany
U0143,user143@example.com,2023-02-05,Founder,free,Website,India
U0144,user144@example.com,2023-01-13,Recruiter,paid,LinkedIn,India
U0145,user145@example.com,2023-06-09,Founder,paid,LinkedIn,India
U0146,user146@example.com,2023-03-12,Recruiter,free,LinkedIn,Germany
U0147,user147@example.com,2023-03-27,Recruiter,trial,Referral,UK
U0148,user148@example.com,2023-01-28,Recruiter,trial,LinkedIn,India
U0149,user149@example.com,2023-03-07,Recruiter,free,Website,Germany
U0150,user150@example.com,2023-06-19,Recruiter,paid,Website,India
U0151,user151@example.com,2023-02-14,HR,trial,LinkedIn,US
U0152,user152@example.com,2023-03-03,Founder,paid,LinkedIn,India
U0153,user153@example.com,2023-05-14,Recruiter,free,Event,India
U0154,user154@example.com,2023-01-28,Analyst,paid,Website,UK
U0155,user155@example.com,2023-01-28,Founder,free,Referral,Germany
U0156,user156@example.com,2023-04-18,Founder,free,Event,UK
U0157,user157@example.com,2023-02-13,Recruiter,paid,LinkedIn,UK
U0158,user158@example.com,2023-03-25,HR,free,LinkedIn,UK
U0159,user159@example.com,2023-01-30,Recruiter,free,Website,UK
U0160,user160@example.com,2023-03-16,HR,paid,LinkedIn,UK
U0161,user161@example.com,2023-05-08,Analyst,paid,Referral,India
U0162,user162@example.com,2023-04-02,Founder,trial,Website,UK
U0163,user163@example.com,2023-05-09,Analyst,trial,LinkedIn,UK
U0164,user164@example.com,2023-05-01,HR,free,Website,Germany
U0165,user165@example.com,2023-01-27,HR,free,LinkedIn,US
U0166,user166@example.com,2023-05-01,Analyst,free,LinkedIn,India
U0167,user167@example.com,2023-04-26,HR,trial,LinkedIn,India
U0168,user168@example.com,2023-01-03,Analyst,trial,Referral,India
U0169,user169@example.com,2023-04-13,Founder,trial,Referral,UK
U0170,user170@example.com,2023-06-04,Analyst,trial,Website,UK
U0171,user171@example.com,2023-05-17,Founder,free,LinkedIn,UK
U0172,user172@example.com,2023-03-03,Analyst,free,LinkedIn,Germany
U0173,user173@example.com,2023-06-14,HR,free,Referral,US
U0174,user174@example.com,2023-02-20,Analyst,trial,LinkedIn,UK
U0175,user175@example.com,2023-06-21,HR,free,Referral,US
U0176,user176@example.com,2023-06-01,Analyst,paid,LinkedIn,Germany
U0177,user177@example.com,2023-02-28,Analyst,free,Website,India
U0178,user178@example.com,2023-04-28,Recruiter,free,LinkedIn,UK
U0179,user179@example.com,2023-06-09,HR,free,LinkedIn,US
U0180,user180@example.com,2023-04-06,Recruiter,trial,Event,US
U0181,user181@example.com,2023-06-29,HR,trial,Referral,UK
U0182,user182@example.com,2023-04-23,Recruiter,free,LinkedIn,India
U0183,user183@example.com,2023-03-03,Founder,free,LinkedIn,India
U0184,user184@example.com,2023-02-21,Analyst,trial,Event,India
U0185,user185@example.com,2023-01-12,HR,free,Event,Germany
U0186,user186@example.com,2023-02-08,HR,paid,Referral,US
U0187,user187@example.com,2023-05-10,Analyst,trial,Event,US
U0188,user188@example.com,2023-05-11,HR,free,Website,US
U0189,user189@example.com,2023-04-23,HR,free,Event,Germany
U0190,user190@example.com,2023-04-11,Recruiter,paid,Website,US
U0191,user191@example.com,2023-04-23,HR,free,Referral,Germany
U0192,user192@example.com,2023-03-22,Founder,free,Referral,India
U0193,user193@example.com,2023-04-23,Founder,paid,Referral,UK
U0194,user194@example.com,2023-01-02,Analyst,paid,Referral,US
U0195,user195@example.com,2023-05-10,HR,paid,Referral,US
U0196,user196@example.com,2023-02-23,Analyst,trial,Website,India
U0197,user197@example.com,2023-03-28,Founder,free,Website,UK
U0198,user198@example.com,2023-05-09,HR,free,Referral,Germany
U0199,user199@example.com,2023-05-27,HR,trial,Event,UK
U0200,user200@example.com,2023-05-06,Analyst,trial,LinkedIn,India
