user_id,email,signup_timestamp,role,plan_type,acquisition_channel,country
U0068,user68@example.com,16-04-2023,Analyst,free,Website,UK
U0069,user69@example.com,04-01-2023,Recruiter,trial,LinkedIn,UK
U0070,user70@example.com,23-02-2023,Analyst,trial,Website,UK
U0071,user71@example.com,26-05-2023,HR,trial,Event,US
U0072,user72@example.com,13-02-2023,Analyst,free,Referral,UK
U0073,user73@example.com,11-06-2023,Analyst,paid,Event,UK
U0074,user74@example.com,14-01-2023,HR,trial,Event,Germany
U0075,user75@example.com,05-04-2023,Recruiter,trial,Event,UK
U0076,user76@example.com,17-02-2023,HR,trial,Referral,UK
U0077,user77@example.com,15-01-2023,Analyst,free,Event,India
U0078,user78@example.com,09-02-2023,Recruiter,free,Event,Germany
U0079,user79@example.com,23-03-2023,Analyst,free,Event,Germany
U0080,user80@example.com,21-04-2023,HR,trial,LinkedIn,Germany
U0081,user81@example.com,22-02-2023,HR,free,Event,Germany
U0082,user82@example.com,24-01-2023,Analyst,free,Referral,Germany
U0083,user83@example.com,03-06-2023,Founder,free,Event,Germany
U0084,user84@example.com,04-05-2023,Founder,free,Event,US
U0085,user85@example.com,10-02-2023,HR,paid,Referral,UK
U0086,user86@example.com,06-06-2023,HR,trial,Event,Germany
U0087,user87@example.com,15-01-2023,Founder,free,Referral,UK
U0088,user88@example.com,14-02-2023,Founder,free,Event,UK
U0089,user89@example.com,06-03-2023,Analyst,free,Referral,US
U0090,user90@example.com,30-03-2023,Analyst,free,Event,Germany
U0091,user91@example.com,12-03-2023,Founder,free,Event,India
U0092,user92@example.com,09-01-2023,Analyst,free,LinkedIn,US
U0093,user93@example.com,29-03-2023,Analyst,free,LinkedIn,India
U0094,user94@example.com,09-05-2023,Recruiter,trial,Event,UK
U0095,user95@example.com,16-05-2023,Analyst,trial,Event,UK
U0096,user96@example.com,04-03-2023,HR,free,Website,US
U0097,user97@example.com,19-05-2023,Analyst,free,Referral,US
U0098,user98@example.com,22-03-2023,Analyst,trial,Website,India
U0099,user99@example.com,16-05-2023,Founder,trial,LinkedIn,Germany
U0100,user100@example.com,12-06-2023,HR,paid,LinkedIn,India
U0101,user101@example.com,12-06-2023,Analyst,trial,LinkedIn,US
U0102,user102@example.com,02-02-2023,Analyst,free,LinkedIn,India
U0103,user103@example.com,03-05-2023,Recruiter,free,Event,US
U0104,user104@example.com,05-01-2023,Analyst,trial,LinkedIn,India
U0105,user105@example.com,10-02-2023,Analyst,free,Event,US
U0106,user106@example.com,28-01-2023,Recruiter,trial,Event,US
U0107,user107@example.com,15-05-2023,Founder,paid,LinkedIn,US
U0108,user108@example.com,13-03-2023,Analyst,trial,LinkedIn,Germany
U0109,user109@example.com,12-01-2023,Recruiter,free,Referral,India
U0110,user110@example.com,11-06-2023,HR,trial,Website,India
U0111,user111@example.com,02-02-2023,Founder,free,LinkedIn,India
U0112,user112@example.com,17-02-2023,HR,trial,Referral,US
U0113,user113@example.com,31-05-2023,HR,paid,Referral,India
U0114,user114@example.com,03-03-2023,Recruiter,free,Website,India
U0115,user115@example.com,06-02-2023,Analyst,paid,Event,US
U0116,user116@example.com,09-04-2023,Recruiter,paid,LinkedIn,UK
U0117,user117@example.com,21-06-2023,Recruiter,free,Website,US
U0118,user118@example.com,14-04-2023,Recruiter,free,LinkedIn,India
U0119,user119@example.com,04-02-2023,Recruiter,free,Referral,US
U0120,user120@example.com,11-04-2023,Founder,free,Referral,UK
U0121,user121@example.com,24-06-2023,Analyst,free,Event,US
U0122,user122@example.com,11-05-2023,HR,trial,Referral,India
U0123,user123@example.com,01-01-2023,HR,free,Referral,UK
U0124,user124@example.com,05-01-2023,Analyst,free,Website,Germany
U0125,user125@example.com,22-05-2023,HR,paid,LinkedIn,India
U0126,user126@example.com,13-04-2023,Analyst,free,LinkedIn,UK
U0127,user127@example.com,27-01-2023,HR,paid,Website,UK
U0128,user128@example.com,17-05-2023,Recruiter,free,Event,Germany
U0129,user129@example.com,15-01-2023,HR,free,LinkedIn,US
U0130,user130@example.com,31-03-2023,Analyst,trial,Referral,US
U0131,user131@example.com,11-02-2023,Analyst,trial,LinkedIn,India
U0132,user132@example.com,04-05-2023,Analyst,paid,Referral,Germany
U0133,user133@example.com,28-06-2023,Analyst,trial,Event,US
U0134,user134@example.com,04-03-2023,Analyst,paid,Website,Germany
U0135,user135@example.com,06-04-2023,Founder,free,LinkedIn,US
U0136,user136@example.com,21-02-2023,Founder,free,Website,UK
U0137,user137@example.com,06-04-2023,HR,trial,LinkedIn,US
U0138,user138@example.com,12-05-2023,Analyst,paid,Referral,Germany
U0139,user139@example.com,31-05-2023,HR,paid,Website,UK
U0140,user140@example.com,23-05-2023,Analyst,free,LinkedIn,UK
U0141,user141@example.com,20-06-2023,Analyst,free,Referral,UK
U0142,user142@example.com,29-01-2023,Founder,trial,Website,Germany
U0143,user143@example.com,05-02-2023,Founder,free,Website,India
U0144,user144@example.com,13-01-2023,Recruiter,paid,LinkedIn,India
U0145,user145@example.com,09-06-2023,Founder,paid,LinkedIn,India
U0146,user146@example.com,12-03-2023,Recruiter,free,LinkedIn,Germany
U0147,user147@example.com,27-03-2023,Recruiter,trial,Referral,UK
U0148,user148@example.com,28-01-2023,Recruiter,trial,LinkedIn,India
U0149,user149@example.com,07-03-2023,Recruiter,free,Website,Germany
U0150,user150@example.com,19-06-2023,Recruiter,paid,Website,India
U0151,user151@example.com,14-02-2023,HR,trial,LinkedIn,US
U0152,user152@example.com,03-03-2023,Founder,paid,LinkedIn,India
U0153,user153@example.com,14-05-2023,Recruiter,free,Event,India
U0154,user154@example.com,28-01-2023,Analyst,paid,Website,UK
U0155,user155@example.com,28-01-2023,Founder,free,Referral,Germany
U0156,user156@example.com,18-04-2023,Founder,free,Event,UK
U0157,user157@example.com,13-02-2023,Recruiter,paid,LinkedIn,UK
U0158,user158@example.com,25-03-2023,HR,free,LinkedIn,UK
U0159,user159@example.com,30-01-2023,Recruiter,free,Website,UK
U0160,user160@example.com,16-03-2023,HR,paid,LinkedIn,UK
U0161,user161@example.com,08-05-2023,Analyst,paid,Referral,India
U0162,user162@example.com,02-04-2023,Founder,trial,Website,UK
U0163,user163@example.com,09-05-2023,Analyst,trial,LinkedIn,UK
U0164,user164@example.com,01-05-2023,HR,free,Website,Germany
U0165,user165@example.com,27-01-2023,HR,free,LinkedIn,US
U0166,user166@example.com,01-05-2023,Analyst,free,LinkedIn,India
U0167,user167@example.com,26-04-2023,HR,trial,LinkedIn,India
U0168,user168@example.com,03-01-2023,Analyst,trial,Referral,India
U0169,user169@example.com,13-04-2023,Founder,trial,Referral,UK
U0170,user170@example.com,04-06-2023,Analyst,trial,Website,UK
U0171,user171@example.com,17-05-2023,Founder,free,LinkedIn,UK
U0172,user172@example.com,03-03-2023,Analyst,free,LinkedIn,Germany
U0173,user173@example.com,14-06-2023,HR,free,Referral,US
U0174,user174@example.com,20-02-2023,Analyst,trial,LinkedIn,UK
U0175,user175@example.com,21-06-2023,HR,free,Referral,US
U0176,user176@example.com,01-06-2023,Analyst,paid,LinkedIn,Germany
U0177,user177@example.com,28-02-2023,Analyst,free,Website,India
U0178,user178@example.com,28-04-2023,Recruiter,free,LinkedIn,UK
U0179,user179@example.com,09-06-2023,HR,free,LinkedIn,US
U0180,user180@example.com,06-04-2023,Recruiter,trial,Event,US
U0181,user181@example.com,29-06-2023,HR,trial,Referral,UK
U0182,user182@example.com,23-04-2023,Recruiter,free,LinkedIn,India
U0183,user183@example.com,03-03-2023,Founder,free,LinkedIn,India
U0184,user184@example.com,21-02-2023,Analyst,trial,Event,India
U0185,user185@example.com,12-01-2023,HR,free,Event,Germany
U0186,user186@example.com,08-02-2023,HR,paid,Referral,US
U0187,user187@example.com,10-05-2023,Analyst,trial,Event,US
U0188,user188@example.com,11-05-2023,HR,free,Website,US
U0189,user189@example.com,23-04-2023,HR,free,Event,Germany
U0190,user190@example.com,11-04-2023,Recruiter,paid,Website,US
U0191,user191@example.com,23-04-2023,HR,free,Referral,Germany
U0192,user192@example.com,22-03-2023,Founder,free,Referral,India
U0193,user193@example.com,23-04-2023,Founder,paid,Referral,UK
U0194,user194@example.com,02-01-2023,Analyst,paid,Referral,US
U0195,user195@example.com,10-05-2023,HR,paid,Referral,US
U0196,user196@example.com,23-02-2023,Analyst,trial,Website,India
U0197,user197@example.com,28-03-2023,Founder,free,Website,UK
U0198,user198@example.com,09-05-2023,HR,free,Referral,Germany
U0199,user199@example.com,27-05-2023,HR,trial,Event,UK
U0200,user200@example.com,06-05-2023,Analyst,trial,LinkedIn,India
